nid,name,role,rank,address,phone_nr,email,homephone_nr
1611042050,William Carillo,pilot,captain,kok 23,1234567,o@e.is,5812345
2910858778,Virginia Ho,Pilot,Captain,Fellsmúli 2,8998802,frs@gamil.com,N/A
2706838569,Gerard Norris,Pilot,Captain,Fellsmúli 3,8998803,dfre@gamil.com,N/A
2209955782,Franko Sinatra,Pilot,Captain,Fellsmúli 4,8998804,grs@gamil.com,N/A
2907675667,Felecia Moye,Pilot,Captain,Fellsmúli 5,8998805,tre@gamil.com,N/A
1309797899,Tyler Anderson,Pilot,Captain,Fellsmúli 6,8998806,mes@gamil.com,N/A
2410876598,Nan Gage,Pilot,Copilot,Fellsmúli 7,8998807,gsased@gamil.com,N/A
2211658134,Charla Johnson,Pilot,Copilot,Fellsmúli 8,8998808,fasdf@gamil.com,N/A
2504939263,Sam Preciado,Pilot,Copilot,Fellsmúli 9,8998809,thag@gamil.com,N/A
1900769521,Jasmine Hagadone,Pilot,Copilot,Fellsmúli 10,8998810,faef@gamil.com,N/A
2500812671,Anna Phillips,Pilot,Copilot,Fellsmúli 11,8998811,rwsdf@gamil.com,N/A
1309927223,Patricia Bates,Pilot,Copilot,Fellsmúli 12,8998812,dfadfe@gamil.com,N/A
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,Fellsmúli 13,8998813,faefhs@gamil.com,N/A
303758167,Margarita Fischer,Cabincrew,Flight Service Manager,Fellsmúli 14,8998814,aeroks@gamil.com,N/A
2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,Fellsmúli 15,8998815,aefafb@gamil.com,5679980
1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,Fellsmúli 16,8998816,gaog@gamil.com,N/A
1405853585,Lula Stefani,Cabincrew,Flight Service Manager,Fellsmúli 17,8998817,gosrare@gamil.com,5568908
909862878,Richard Sanders,Cabincrew,Flight Service Manager,Fellsmúli 18,8998818,agsdf@gamil.com,N/A
1811931544,John Kline,Cabincrew,Flight Service Manager,Fellsmúli 19,8998819,efosfg@gamil.com,N/A
409858797,Evelyn Pickhardt,Cabincrew,Flight Service Manager,Fellsmúli 20,8998820,afgoms@gamil.com,N/A
3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,Fellsmúli 21,8998821,asefaef@gamil.com,N/A
3003962187,Delores Whitfield,Cabincrew,Flight Attendant,Fellsmúli 22,8998822,mafsing@gamil.com,N/A
1311772221,Maribel Lucero,Cabincrew,Flight Attendant,Fellsmúli 23,8998823,adgasdg@gamil.com,N/A
2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,Fellsmúli 24,8998824,asdgbo@gamil.com,N/A
1103647756,Wilma Horne,Cabincrew,Flight Attendant,Fellsmúli 25,8998825,asdgkn@gamil.com,N/A
2807755841,Bernard Carr,Cabincrew,Flight Attendant,Fellsmúli 26,8998826,asgi@gamil.com,N/A
409907212,Sara Davis,Cabincrew,Flight Attendant,Fellsmúli 27,8998827,asdgin@gamil.com,N/A
1103912131,Robert Swope,Cabincrew,Flight Attendant,Fellsmúli 28,8998828,asgasg@gamil.com,N/A
2801645554,John Iversen,Cabincrew,Flight Attendant,Fellsmúli 29,8998829,aag@gamil.com,N/A
1501681497,Abraham Superman,Cabincrew,Flight Attendant,Fellsmúli 30,8998830,jnpi@gamil.com,N/A
1811813379,Melissa Paquette,Cabincrew,Flight Attendant,Fellsmúli 31,8998831,jnpn@gamil.com,N/A
505942924,Carlton Chan,Cabincrew,Flight Attendant,Fellsmúli 32,8998832,jnafpu@gamil.com,N/A
1110732819,Arthur Karr,Cabincrew,Flight Attendant,Fellsmúli 33,8998833,asikgin@gamil.com,569000
2602806942,Teresa Thruman,Cabincrew,Flight Attendant,Fellsmúli 34,8998834,jnasgupasdg@gamil.com,N/A
1107951952,Elizabeth Mcfadden,Cabincrew,Flight Attendant,Fellsmúli 35,8998835,ijapnfgja@gamil.com,N/A
1408013050,vigga ligga,pilot,flight attendant,fjfjfjf 10,8888888,blabla@blabla.is,N/A
1313131313,sjemli,pilot,copilot,hahaha 3,6767676,sja@sja.is,N/A
